id,state,monitor_type,type,display_name,website,check_frequency,location_profile_name,timeout,use_ipv6,monitor_groups,http_method,custom_headers_name,custom_headers_value,user_agent,auth_method,up_status_codes,ssl_protocol,matching_keyword,matching_severity,unmatching_keyword,unmatching_severity,match_regex,regex_severity,threshold_profile_name,notification_profile_name,user_group_names,perform_automation,third_party_services,probe_proxy_enabled,tag:sre_name,tag:sre_appteam,tag:sre_part-of,tag:sre_component,tag:sre_tier,tag:sre_environment,tag:sre_group,tag:sre_site
SFS_PROD1_1,0,Website,URL,[Prod01] SFS Content,https://securefiles-ca.diligentboards.com/content/health,5,External,15,FALSE,"SignalFX1,SFS",G,,,,B,200,Auto,buildVersion,0,,,,,External,IX,IX,FALSE,,FALSE,content,ixprodops,sfs,url,prod,prod,prod01,
SFS_PROD1_2,0,Website,URL,[Prod01] SFS Admin,https://securefiles-ca.diligentboards.com/admin/health,5,External,15,FALSE,"SignalFX1,SFS",G,,,,B,200,Auto,buildVersion,0,,,,,External,IX,IX,FALSE,,FALSE,admin,ixprodops,sfs,url,prod,prod,prod01,
SFS_PROD1_3,0,Website,URL,[Prod01] SFS Auth,https://securefiles-ca.diligentboards.com/auth/health,5,External,15,FALSE,"SignalFX1,SFS",G,,,,B,200,Auto,buildVersion,0,,,,,External,IX,IX,FALSE,,FALSE,auth,ixprodops,sfs,url,prod,prod,prod01,
SFS_PROD1_4,0,Website,URL,[Prod01] SFS Communication,https://securefiles-ca.diligentboards.com/communication/health,5,External,15,FALSE,"SignalFX1,SFS",G,,,,B,200,Auto,buildVersion,0,,,,,External,IX,IX,FALSE,,FALSE,communication,ixprodops,sfs,url,prod,prod,prod01,
SFS_PROD1_5,0,Website,URL,[Prod01] SFS Support,https://securefiles-ca.diligentboards.com/support/health,5,External,15,FALSE,"SignalFX1,SFS",G,,,,B,,Auto,,0,,,,,External,IX,IX,FALSE,,FALSE,support,ixprodops,sfs,url,prod,prod,prod01,
SFS_PROD1_6,0,Website,URL,[Prod01] SFS Web,https://securefiles-ca.diligentboards.com/web/health,5,External,15,FALSE,"SignalFX1,SFS",G,,,,B,200,Auto,buildVersion,0,,,,,External,IX,IX,FALSE,,FALSE,web,ixprodops,sfs,url,prod,prod,prod01,
SFS_PROD2_1,0,Website,URL,[Prod02] SFS Content,https://securefiles.diligentboards.com/content/health,5,External,15,FALSE,"SignalFX1,SFS",G,,,,B,200,Auto,buildVersion,0,,,,,External,IX,IX,FALSE,,FALSE,content,ixprodops,sfs,url,prod,prod,prod02,
SFS_PROD2_2,0,Website,URL,[Prod02] SFS Admin,https://securefiles.diligentboards.com/admin/health,5,External,15,FALSE,"SignalFX1,SFS",G,,,,B,200,Auto,buildVersion,0,,,,,External,IX,IX,FALSE,,FALSE,admin,ixprodops,sfs,url,prod,prod,prod02,
SFS_PROD2_3,0,Website,URL,[Prod02] SFS Auth,https://securefiles.diligentboards.com/auth/health,5,External,15,FALSE,"SignalFX1,SFS",G,,,,B,200,Auto,buildVersion,0,,,,,External,IX,IX,FALSE,,FALSE,auth,ixprodops,sfs,url,prod,prod,prod02,
SFS_PROD2_4,0,Website,URL,[Prod02] SFS Communication,https://securefiles.diligentboards.com/communication/health,5,External,15,FALSE,"SignalFX1,SFS",G,,,,B,200,Auto,buildVersion,0,,,,,External,IX,IX,FALSE,,FALSE,communication,ixprodops,sfs,url,prod,prod,prod02,
SFS_PROD2_5,0,Website,URL,[Prod02] SFS Support,https://securefiles.diligentboards.com/support/health,5,External,15,FALSE,"SignalFX1,SFS",G,,,,B,,Auto,,0,,,,,External,IX,IX,FALSE,,FALSE,support,ixprodops,sfs,url,prod,prod,prod02,
SFS_PROD2_6,0,Website,URL,[Prod02] SFS Web,https://securefiles.diligentboards.com/web/health,5,External,15,FALSE,"SignalFX1,SFS",G,,,,B,200,Auto,buildVersion,0,,,,,External,IX,IX,FALSE,,FALSE,web,ixprodops,sfs,url,prod,prod,prod02,
SFS_PROD3_1,0,Website,URL,[Prod03] SFS Content,https://securefiles-eu.diligentboards.com/content/health,5,External,15,FALSE,"SignalFX1,SFS",G,,,,B,200,Auto,buildVersion,0,,,,,External,IX,IX,FALSE,,FALSE,content,ixprodops,sfs,url,prod,prod,prod03,
SFS_PROD3_2,0,Website,URL,[Prod03] SFS Admin,https://securefiles-eu.diligentboards.com/admin/health,5,External,15,FALSE,"SignalFX1,SFS",G,,,,B,200,Auto,buildVersion,0,,,,,External,IX,IX,FALSE,,FALSE,admin,ixprodops,sfs,url,prod,prod,prod03,
SFS_PROD3_3,0,Website,URL,[Prod03] SFS Auth,https://securefiles-eu.diligentboards.com/auth/health,5,External,15,FALSE,"SignalFX1,SFS",G,,,,B,200,Auto,buildVersion,0,,,,,External,IX,IX,FALSE,,FALSE,auth,ixprodops,sfs,url,prod,prod,prod03,
SFS_PROD3_4,0,Website,URL,[Prod03] SFS Communication,https://securefiles-eu.diligentboards.com/communication/health,5,External,15,FALSE,"SignalFX1,SFS",G,,,,B,200,Auto,buildVersion,0,,,,,External,IX,IX,FALSE,,FALSE,communication,ixprodops,sfs,url,prod,prod,prod03,
SFS_PROD3_5,0,Website,URL,[Prod03] SFS Support,https://securefiles-eu.diligentboards.com/support/health,5,External,15,FALSE,"SignalFX1,SFS",G,,,,B,,Auto,,0,,,,,External,IX,IX,FALSE,,FALSE,support,ixprodops,sfs,url,prod,prod,prod03,
SFS_PROD3_6,0,Website,URL,[Prod03] SFS Web,https://securefiles-eu.diligentboards.com/web/health,5,External,15,FALSE,"SignalFX1,SFS",G,,,,B,200,Auto,buildVersion,0,,,,,External,IX,IX,FALSE,,FALSE,web,ixprodops,sfs,url,prod,prod,prod03,
SFS_PROD4_1,0,Website,URL,[Prod04] SFS Content,https://securefiles-au.diligentboards.com/content/health,5,External,15,FALSE,"SignalFX1,SFS",G,,,,B,200,Auto,buildVersion,0,,,,,External,IX,IX,FALSE,,FALSE,content,ixprodops,sfs,url,prod,prod,prod04,
SFS_PROD4_2,0,Website,URL,[Prod04] SFS Admin,https://securefiles-au.diligentboards.com/admin/health,5,External,15,FALSE,"SignalFX1,SFS",G,,,,B,200,Auto,buildVersion,0,,,,,External,IX,IX,FALSE,,FALSE,admin,ixprodops,sfs,url,prod,prod,prod04,
SFS_PROD4_3,0,Website,URL,[Prod04] SFS Auth,https://securefiles-au.diligentboards.com/auth/health,5,External,15,FALSE,"SignalFX1,SFS",G,,,,B,200,Auto,buildVersion,0,,,,,External,IX,IX,FALSE,,FALSE,auth,ixprodops,sfs,url,prod,prod,prod04,
SFS_PROD4_4,0,Website,URL,[Prod04] SFS Communication,https://securefiles-ca.diligentboards.com/communication/health,5,External,15,FALSE,"SignalFX1,SFS",G,,,,B,200,Auto,buildVersion,0,,,,,External,IX,IX,FALSE,,FALSE,communication,ixprodops,sfs,url,prod,prod,prod04,
SFS_PROD4_5,0,Website,URL,[Prod04] SFS Support,https://securefiles-au.diligentboards.com/support/health,5,External,15,FALSE,"SignalFX1,SFS",G,,,,B,,Auto,,0,,,,,External,IX,IX,FALSE,,FALSE,support,ixprodops,sfs,url,prod,prod,prod04,
SFS_PROD4_6,0,Website,URL,[Prod04] SFS Web,https://securefiles-au.diligentboards.com/web/health,5,External,15,FALSE,"SignalFX1,SFS",G,,,,B,200,Auto,buildVersion,0,,,,,External,IX,IX,FALSE,,FALSE,web,ixprodops,sfs,url,prod,prod,prod04,
SFS_PROD5_1,0,Website,URL,[Prod05] SFS Content,https://securefiles-uk.diligentboards.com/content/health,5,External,15,FALSE,"SignalFX1,SFS",G,,,,B,200,Auto,buildVersion,0,,,,,External,IX,IX,FALSE,,FALSE,content,ixprodops,sfs,url,prod,prod,prod05,
SFS_PROD5_2,0,Website,URL,[Prod05] SFS Admin,https://securefiles-uk.diligentboards.com/admin/health,5,External,15,FALSE,"SignalFX1,SFS",G,,,,B,200,Auto,buildVersion,0,,,,,External,IX,IX,FALSE,,FALSE,admin,ixprodops,sfs,url,prod,prod,prod05,
SFS_PROD5_3,0,Website,URL,[Prod05] SFS Auth,https://securefiles-uk.diligentboards.com/auth/health,5,External,15,FALSE,"SignalFX1,SFS",G,,,,B,200,Auto,buildVersion,0,,,,,External,IX,IX,FALSE,,FALSE,auth,ixprodops,sfs,url,prod,prod,prod05,
SFS_PROD5_4,0,Website,URL,[Prod05] SFS Communication,https://securefiles-uk.diligentboards.com/communication/health,5,External,15,FALSE,"SignalFX1,SFS",G,,,,B,200,Auto,buildVersion,0,,,,,External,IX,IX,FALSE,,FALSE,communication,ixprodops,sfs,url,prod,prod,prod05,
SFS_PROD5_5,0,Website,URL,[Prod05] SFS Support,https://securefiles-uk.diligentboards.com/support/health,5,External,15,FALSE,"SignalFX1,SFS",G,,,,B,,Auto,,0,,,,,External,IX,IX,FALSE,,FALSE,support,ixprodops,sfs,url,prod,prod,prod05,
SFS_PROD5_6,0,Website,URL,[Prod05] SFS Web,https://securefiles-uk.diligentboards.com/web/health,5,External,15,FALSE,"SignalFX1,SFS",G,,,,B,200,Auto,buildVersion,0,,,,,External,IX,IX,FALSE,,FALSE,web,ixprodops,sfs,url,prod,prod,prod05,
